sovereign,territory,habitat,habitat_area,mpa,heavily_restricted,minimal_area_km2,high_area_km2,upgrade_gain_percent,opportunity_score,high_protection_percent,enabling_conditions,enabling_band,global_share
Marshall Islands,Marshall Islands,Mangroves,1,1,0,1,0,100,0.5932322775263952,0,59.32322775263952,50-69,6.854340481824232e-4
Montenegro,Montenegro,Saltmarshes,1.08984375,1.08984375,0,1.08984375,0,100,0.678064453125,0,62.21666666666667,50-69,4.8533057060849683e-4
Morocco,Morocco,Saltmarshes,68,68,0,68,0,100,36.10571812080536,0,53.09664429530201,50-69,0.03028184434821761
Netherlands,Bonaire,Cold-water corals,1,1,0,1,0,100,0.853,0,85.3,>=70,0.007236782490726899
Netherlands,Bonaire,Mangroves,2,2,0,2,0,100,1.706,0,85.3,>=70,0.0013708680963648464
Netherlands,Saba,Cold-water corals,8,8,0,8,0,100,6.74,0,84.25,>=70,0.05789425992581519
Netherlands,Saba,Warm-water corals,161.065536499023,161.065536499023,0,161.065536499023,0,100,135.69771450042688,0,84.25,>=70,0.1079655562014924
Netherlands,Saba,Seagrasses,2,2,0,2,0,100,1.685,0,84.25,>=70,6.337896690686771e-4
New Zealand,Cook Islands,Cold-water corals,2,2,0,2,0,100,1.3125558912386706,0,65.62779456193353,50-69,0.014473564981453798
Oman,Oman,Saltmarshes,2.02296781539917,2.02296781539917,0,2.02296781539917,0,100,1.2409424037742616,0,61.342666666666666,50-69,9.0087053687311e-4
Oman,Oman,Mangroves,1,1,0,1,0,100,0.6134266666666667,0,61.342666666666666,50-69,6.854340481824232e-4
Pakistan,Pakistan,Saltmarshes,3521.26708984375,3521.26708984375,0,3521.26708984375,0,100,1278.2199536132812,0,36.3,<50,1.5680950282816122
Qatar,Qatar,Mangroves,5,5,0,5,0,100,3.19625,0,63.925,50-69,0.0034271702409121156
Romania,Romania,Saltmarshes,55,55,0,55,0,100,33.33,0,60.6,50-69,0.024492668222823068
Saint Kitts and Nevis,Saint Kitts and Nevis,Warm-water corals,40,40,0,40,0,100,23.96,0,59.9,50-69,0.0268128262689262
Seychelles,Seychelles,Mangroves,3,3,0,3,0,100,1.8685079726651481,0,62.283599088838265,50-69,0.0020563021445472694
Suriname,Suriname,Saltmarshes,120,120,0,120,0,100,69.24000000000001,0,57.7,50-69,0.053438548849795785
Tuvalu,Tuvalu,Mangroves,1,1,0,1,0,100,0.5974578313253012,0,59.74578313253012,50-69,6.854340481824232e-4
United Kingdom,Ascension,Cold-water corals,9,9,0,9,0,100,7.56,0,84,>=70,0.06513104241654209
United States,Howland and Baker islands,Cold-water corals,1,1,0,1,0,100,0.8058785714285714,0,80.58785714285715,>=70,0.007236782490726899
United States,Howland and Baker islands,Warm-water corals,5,5,0,5,0,100,4.029392857142858,0,80.58785714285715,>=70,0.003351603283615775
United States,Johnston Atoll,Cold-water corals,8,8,0,8,0,100,6.16,0,77,>=70,0.05789425992581519
United States,Johnston Atoll,Warm-water corals,79,79,0,79,0,100,60.83,0,77,>=70,0.05295533188112925
United States,Palmyra Atoll,Warm-water corals,81,81,0,81,0,100,65.26951327433628,0,80.57964601769912,>=70,0.054295973194575554
United States,Wake Island,Warm-water corals,11,11,0,11,0,100,8.270246376811594,0,75.1840579710145,>=70,0.007373527223954705
France,Mayotte,Warm-water corals,315,314,0,314,0,99.68253968253968,231.77295652173916,0,73.81304347826088,>=70,0.2111510068677938
India,India,Saltmarshes,2157.73291015625,2147.73291015625,0,2147.73291015625,0,99.53655061046106,1041.952235556655,0,48.51405082212257,<50,0.9608842960349732
France,Mayotte,Seagrasses,1477,1463,0,1463,0,99.0521327014218,1079.8848260869565,0,73.81304347826088,>=70,0.4680536706072181
Democratic Republic of the Congo,Democratic Republic of the Congo,Mangroves,244.999496459961,239.999496459961,0,239.999496459961,0,97.95917947904145,85.51982057189943,0,35.63333333333333,<50,0.1679309966612063
